Instance type,Instance family,Instance size,Availability zones,Free-Tier eligible,Bare metal,Hypervisor,vCPUs,Architecture,Cores,Valid cores,Threads per core,Valid threads per core,Sustained clock speed (GHz),Memory (GiB),Storage (GB),Local instance storage,Storage type,Storage disk count,EBS encryption support,EBS optimization support,Network performance,ENA support,Maximum number of network interfaces,IPv4 addresses per interface,IPv6 addresses per interface,IPv6 support,Supported placement group strategies,GPUs,FPGAs,Auto Recovery support,Supported root device types,Dedicated Host support,On-Demand Hibernation support,Burstable Performance support,Current generation,On-Demand Linux pricing,On-Demand Windows pricing
c6a.2xlarge,c6a,2xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,8,x86_64,4,"1,2,3,4",2,"1,2",3.6,16,-,-,-,-,supported,default,Up to 12.5 Gigabit,required,4,15,15,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,0.306 USD per Hour,0.674 USD per Hour
c6a.4xlarge,c6a,4xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,16,x86_64,8,"1,2,3,4,5,6,7,8",2,"1,2",3.6,32,-,-,-,-,supported,default,Up to 12.5 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,0.612 USD per Hour,1.348 USD per Hour
c6a.8xlarge,c6a,8xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,32,x86_64,16,"1,2,3,4,5,6,7,8,16",2,"1,2",3.6,64,-,-,-,-,supported,default,12.5 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,1.224 USD per Hour,2.696 USD per Hour
c6a.12xlarge,c6a,12xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,48,x86_64,24,"1,2,3,4,5,6,7,8,16,24",2,"1,2",3.6,96,-,-,-,-,supported,default,18.75 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,1.836 USD per Hour,4.044 USD per Hour
c6a.16xlarge,c6a,16xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,64,x86_64,32,"2,4,6,8,10,12,14,16,32",2,"1,2",3.6,128,-,-,-,-,supported,default,25 Gigabit,required,15,50,50,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,2.448 USD per Hour,5.392 USD per Hour
c6a.24xlarge,c6a,24xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,96,x86_64,48,"2,4,6,8,10,12,14,16,32,48",2,"1,2",3.6,192,-,-,-,-,supported,default,37.5 Gigabit,required,15,50,50,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,3.672 USD per Hour,8.088 USD per Hour
c6a.32xlarge,c6a,32xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,128,x86_64,64,"4,8,12,16,20,24,28,32,64",2,"1,2",3.6,256,-,-,-,-,supported,default,50 Gigabit,required,15,50,50,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,4.896 USD per Hour,10.784 USD per Hour
c6a.48xlarge,c6a,48xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,192,x86_64,96,"4,8,12,16,20,24,28,32,64,96",2,"1,2",3.6,384,-,-,-,-,supported,default,50 Gigabit,required,15,50,50,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,7.344 USD per Hour,16.176 USD per Hour
c6g.medium,c6g,medium,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,1,arm64,1,-,1,-,2.5,2,-,-,-,-,supported,default,Up to 10 Gigabit,required,2,4,4,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,0.034 USD per Hour,
c6g.large,c6g,large,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,2,arm64,2,"1,2",1,1,2.5,4,-,-,-,-,supported,default,Up to 10 Gigabit,required,3,10,10,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,0.068 USD per Hour,
c6g.xlarge,c6g,xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,4,arm64,4,"1,2,3,4",1,1,2.5,8,-,-,-,-,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,0.136 USD per Hour,
c6g.2xlarge,c6g,2xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,8,arm64,8,"1,2,3,4,5,6,7,8",1,1,2.5,16,-,-,-,-,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,0.272 USD per Hour,
c6g.4xlarge,c6g,4xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,16,arm64,16,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",1,1,2.5,32,-,-,-,-,supported,default,Up to 10 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,0.544 USD per Hour,
c6g.8xlarge,c6g,8xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,32,arm64,32,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",1,1,2.5,64,-,-,-,-,supported,default,12 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,1.088 USD per Hour,
c6g.12xlarge,c6g,12xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,48,arm64,48,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48",1,1,2.5,96,-,-,-,-,supported,default,20 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,1.632 USD per Hour,
c6g.16xlarge,c6g,16xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,64,arm64,64,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64",1,1,2.5,128,-,-,-,-,supported,default,25 Gigabit,required,15,50,50,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,2.176 USD per Hour,
c6g.metal,c6g,metal,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,true,,64,arm64,64,-,1,-,2.5,128,-,-,-,-,supported,default,25 Gigabit,required,15,50,50,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,2.176 USD per Hour,
c6gd.medium,c6gd,medium,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,1,arm64,1,-,1,-,2.5,2,59,true,ssd,1,supported,default,Up to 10 Gigabit,required,2,4,4,true,"cluster, partition, spread",-,-,-,ebs,true,-,-,true,0.0384 USD per Hour,
c6gd.large,c6gd,large,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,2,arm64,2,"1,2",1,1,2.5,4,118,true,ssd,1,supported,default,Up to 10 Gigabit,required,3,10,10,true,"cluster, partition, spread",-,-,-,ebs,true,-,-,true,0.0768 USD per Hour,
c6gd.xlarge,c6gd,xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,4,arm64,4,"1,2,3,4",1,1,2.5,8,237,true,ssd,1,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",-,-,-,ebs,true,-,-,true,0.1536 USD per Hour,
c6gd.2xlarge,c6gd,2xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,8,arm64,8,"1,2,3,4,5,6,7,8",1,1,2.5,16,474,true,ssd,1,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",-,-,-,ebs,true,-,-,true,0.3072 USD per Hour,
c6gd.4xlarge,c6gd,4xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,16,arm64,16,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",1,1,2.5,32,950,true,ssd,1,supported,default,Up to 10 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,-,ebs,true,-,-,true,0.6144 USD per Hour,
c6gd.8xlarge,c6gd,8xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,32,arm64,32,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",1,1,2.5,64,1900,true,ssd,1,supported,default,12 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,-,ebs,true,-,-,true,1.2288 USD per Hour,
c6gd.12xlarge,c6gd,12xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,48,arm64,48,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48",1,1,2.5,96,2850,true,ssd,2,supported,default,20 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,-,ebs,true,-,-,true,1.8432 USD per Hour,
c6gd.16xlarge,c6gd,16xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,64,arm64,64,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64",1,1,2.5,128,3800,true,ssd,2,supported,default,25 Gigabit,required,15,50,50,true,"cluster, partition, spread",-,-,-,ebs,true,-,-,true,2.4576 USD per Hour,
c6gd.metal,c6gd,metal,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,true,,64,arm64,64,-,1,-,2.5,128,3800,true,ssd,2,supported,default,25 Gigabit,required,15,50,50,true,"cluster, partition, spread",-,-,-,ebs,true,-,-,true,2.4576 USD per Hour,
c6gn.medium,c6gn,medium,"us-east-1a, us-east-1b, us-east-1c, us-east-1d",false,false,nitro,1,arm64,1,1,1,1,2.5,2,-,-,-,-,supported,default,Up to 16 Gigabit,required,2,4,4,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,0.0432 USD per Hour,
c6gn.large,c6gn,large,"us-east-1a, us-east-1b, us-east-1c, us-east-1d",false,false,nitro,2,arm64,2,"1,2",1,1,2.5,4,-,-,-,-,supported,default,Up to 25 Gigabit,required,3,10,10,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,0.0864 USD per Hour,
c6gn.xlarge,c6gn,xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d",false,false,nitro,4,arm64,4,"1,2,3,4",1,1,2.5,8,-,-,-,-,supported,default,Up to 25 Gigabit,required,4,15,15,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,0.1728 USD per Hour,
c6gn.2xlarge,c6gn,2xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d",false,false,nitro,8,arm64,8,"1,2,3,4,5,6,7,8",1,1,2.5,16,-,-,-,-,supported,default,Up to 25 Gigabit,required,4,15,15,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,0.3456 USD per Hour,
c6gn.4xlarge,c6gn,4xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d",false,false,nitro,16,arm64,16,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",1,1,2.5,32,-,-,-,-,supported,default,Up to 25 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,0.6912 USD per Hour,
c6gn.8xlarge,c6gn,8xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d",false,false,nitro,32,arm64,32,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32",1,1,2.5,64,-,-,-,-,supported,default,50 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,1.3824 USD per Hour,
c6gn.12xlarge,c6gn,12xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d",false,false,nitro,48,arm64,48,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48",1,1,2.5,96,-,-,-,-,supported,default,75 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,true,ebs,-,-,-,true,2.0736 USD per Hour,
c6gn.16xlarge,c6gn,16xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d",false,false,nitro,64,arm64,64,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64",1,1,2.5,128,-,-,-,-,supported,default,100 Gigabit,required,15,50,50,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,2.7648 USD per Hour,
c6i.large,c6i,large,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,2,x86_64,1,1,2,"1,2",3.5,4,-,-,-,-,supported,default,Up to 12.5 Gigabit,required,3,10,10,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,0.085 USD per Hour,0.177 USD per Hour
c6i.xlarge,c6i,xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,4,x86_64,2,"1,2",2,"1,2",3.5,8,-,-,-,-,supported,default,Up to 12.5 Gigabit,required,4,15,15,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,0.17 USD per Hour,0.354 USD per Hour
c6i.2xlarge,c6i,2xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,8,x86_64,4,"2,4",2,"1,2",3.5,16,-,-,-,-,supported,default,Up to 12.5 Gigabit,required,4,15,15,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,0.34 USD per Hour,0.708 USD per Hour
c6i.4xlarge,c6i,4xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,16,x86_64,8,"2,4,6,8",2,"1,2",3.5,32,-,-,-,-,supported,default,Up to 12.5 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,0.68 USD per Hour,1.416 USD per Hour
c6i.8xlarge,c6i,8xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,32,x86_64,16,"2,4,6,8,10,12,14,16",2,"1,2",3.5,64,-,-,-,-,supported,default,12.5 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,1.36 USD per Hour,2.832 USD per Hour
c6i.12xlarge,c6i,12xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,48,x86_64,24,"2,4,6,8,10,12,14,16,18,20,22,24",2,"1,2",3.5,96,-,-,-,-,supported,default,18.75 Gigabit,required,8,30,30,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,2.04 USD per Hour,4.248 USD per Hour
c6i.16xlarge,c6i,16xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,64,x86_64,32,"2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32",2,"1,2",3.5,128,-,-,-,-,supported,default,25 Gigabit,required,15,50,50,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,2.72 USD per Hour,5.664 USD per Hour
c6i.24xlarge,c6i,24xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,96,x86_64,48,"2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48",2,"1,2",3.5,192,-,-,-,-,supported,default,37.5 Gigabit,required,15,50,50,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,4.08 USD per Hour,8.496 USD per Hour
c6i.32xlarge,c6i,32xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,false,nitro,128,x86_64,64,"2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64",2,"1,2",3.5,256,-,-,-,-,supported,default,50 Gigabit,required,15,50,50,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,5.44 USD per Hour,11.328 USD per Hour
c6i.metal,c6i,metal,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1f",false,true,,128,x86_64,64,-,2,-,3.5,256,-,-,-,-,supported,default,50 Gigabit,required,15,50,50,true,"cluster, partition, spread",-,-,true,ebs,true,-,-,true,5.44 USD per Hour,11.328 USD per Hour
cc2.8xlarge,cc2,8xlarge,"us-east-1a, us-east-1b, us-east-1d",false,false,xen,32,x86_64,16,-,2,-,2.6,60.5,3360,true,hdd,4,unsupported,unsupported,10 Gigabit,unsupported,8,30,-,-,"cluster, partition, spread",-,-,-,"ebs, instance-store",-,-,-,false,2 USD per Hour,2.57 USD per Hour
d2.xlarge,d2,xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1e, us-east-1f",false,false,xen,4,x86_64,2,"1,2",2,"1,2",2.4,30.5,6144,true,hdd,3,supported,default,Moderate,unsupported,4,15,15,true,"cluster, partition, spread",-,-,-,"ebs, instance-store",true,-,-,true,0.69 USD per Hour,0.821 USD per Hour
d2.2xlarge,d2,2xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1e, us-east-1f",false,false,xen,8,x86_64,4,"1,2,3,4",2,"1,2",2.4,61,12288,true,hdd,6,supported,default,High,unsupported,4,15,15,true,"cluster, partition, spread",-,-,-,"ebs, instance-store",true,-,-,true,1.38 USD per Hour,1.601 USD per Hour
d2.4xlarge,d2,4xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1e, us-east-1f",false,false,xen,16,x86_64,8,"1,2,3,4,5,6,7,8",2,"1,2",2.4,122,24576,true,hdd,12,supported,default,High,unsupported,8,30,30,true,"cluster, partition, spread",-,-,-,"ebs, instance-store",true,-,-,true,2.76 USD per Hour,3.062 USD per Hour
d2.8xlarge,d2,8xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1e, us-east-1f",false,false,xen,36,x86_64,18,"2,4,6,8,10,12,14,16,18",2,"1,2",2.4,244,49152,true,hdd,24,supported,default,10 Gigabit,unsupported,8,30,30,true,"cluster, partition, spread",-,-,-,"ebs, instance-store",true,-,-,true,5.52 USD per Hour,6.198 USD per Hour
d3.xlarge,d3,xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d",false,false,nitro,4,x86_64,2,"1,2",2,"1,2",3.1,32,5940,true,hdd,3,supported,default,Up to 15 Gigabit,required,4,3,3,true,"cluster, partition, spread",-,-,-,ebs,-,-,-,true,0.499 USD per Hour,0.683 USD per Hour
d3.2xlarge,d3,2xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d",false,false,nitro,8,x86_64,4,"2,4",2,"1,2",3.1,64,11880,true,hdd,6,supported,default,Up to 15 Gigabit,required,4,5,5,true,"cluster, partition, spread",-,-,-,ebs,-,-,-,true,0.999 USD per Hour,1.367 USD per Hour
d3.4xlarge,d3,4xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d",false,false,nitro,16,x86_64,8,"2,4,6,8",2,"1,2",3.1,128,23760,true,hdd,12,supported,default,Up to 15 Gigabit,required,4,10,10,true,"cluster, partition, spread",-,-,-,ebs,-,-,-,true,1.998 USD per Hour,2.734 USD per Hour
d3.8xlarge,d3,8xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d",false,false,nitro,32,x86_64,16,"2,4,6,8,10,12,14,16",2,"1,2",3.1,256,47520,true,hdd,24,supported,default,25 Gigabit,required,3,20,20,true,"cluster, partition, spread",-,-,-,ebs,-,-,-,true,3.99552 USD per Hour,5.46752 USD per Hour
d3en.xlarge,d3en,xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d",false,false,nitro,4,x86_64,2,"1,2",2,"1,2",3.1,16,27960,true,hdd,2,supported,default,Up to 25 Gigabit,required,4,3,3,true,"cluster, partition, spread",-,-,-,ebs,-,-,-,true,0.526 USD per Hour,0.71 USD per Hour
d3en.2xlarge,d3en,2xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d",false,false,nitro,8,x86_64,4,"2,4",2,"1,2",3.1,32,55920,true,hdd,4,supported,default,Up to 25 Gigabit,required,4,5,5,true,"cluster, partition, spread",-,-,-,ebs,-,-,-,true,1.051 USD per Hour,1.419 USD per Hour
d3en.4xlarge,d3en,4xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d",false,false,nitro,16,x86_64,8,"2,4,6,8",2,"1,2",3.1,64,111840,true,hdd,8,supported,default,25 Gigabit,required,4,10,10,true,"cluster, partition, spread",-,-,-,ebs,-,-,-,true,2.103 USD per Hour,2.839 USD per Hour
d3en.6xlarge,d3en,6xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d",false,false,nitro,24,x86_64,12,"2,4,6,8,10,12",2,"1,2",3.1,96,167760,true,hdd,12,supported,default,40 Gigabit,required,4,15,15,true,"cluster, partition, spread",-,-,-,ebs,-,-,-,true,3.154 USD per Hour,4.258 USD per Hour
d3en.8xlarge,d3en,8xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d",false,false,nitro,32,x86_64,16,"2,4,6,8,10,12,14,16",2,"1,2",3.1,128,223680,true,hdd,16,supported,default,50 Gigabit,required,4,20,20,true,"cluster, partition, spread",-,-,-,ebs,-,-,-,true,4.20576 USD per Hour,5.67776 USD per Hour
d3en.12xlarge,d3en,12xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d",false,false,nitro,48,x86_64,24,"2,4,6,8,10,12,14,16,18,20,22,24",2,"1,2",3.1,192,335520,true,hdd,24,supported,default,75 Gigabit,required,3,30,30,true,"cluster, partition, spread",-,-,-,ebs,-,-,-,true,6.30864 USD per Hour,8.51664 USD per Hour
dl1.24xlarge,dl1,24xlarge,us-east-1d,false,false,nitro,96,x86_64,48,"2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48",2,"1,2",3,768,4000,true,ssd,4,supported,default,4x 100 Gigabit,required,60,50,50,true,"cluster, partition, spread",8,-,-,ebs,true,-,-,true,13.10904 USD per Hour,
f1.2xlarge,f1,2xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1e",false,false,xen,8,x86_64,4,"1,2,3,4",2,"1,2",2.3,122,470,true,ssd,1,supported,default,Up to 10 Gigabit,unsupported,4,15,15,true,"cluster, partition, spread",-,1,-,ebs,true,-,-,true,1.65 USD per Hour,
f1.4xlarge,f1,4xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1e",false,false,xen,16,x86_64,8,"1,2,3,4,5,6,7,8",2,"1,2",2.3,244,940,true,ssd,1,supported,default,Up to 10 Gigabit,unsupported,8,30,30,true,"cluster, partition, spread",-,2,-,ebs,true,-,-,true,3.3 USD per Hour,
f1.16xlarge,f1,16xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d, us-east-1e",false,false,xen,64,x86_64,32,"2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32",2,"1,2",2.3,976,3760,true,ssd,4,supported,default,25 Gigabit,unsupported,8,50,50,true,"cluster, partition, spread",-,8,-,ebs,true,-,-,true,13.2 USD per Hour,
g2.2xlarge,g2,2xlarge,"us-east-1a, us-east-1b, us-east-1d, us-east-1e",false,false,xen,8,x86_64,4,"1,2,3,4",2,"1,2",2.6,15,60,true,ssd,1,supported,supported,Moderate,unsupported,4,15,-,-,"cluster, partition, spread",1,-,-,"ebs, instance-store",true,-,-,false,0.65 USD per Hour,0.767 USD per Hour
g2.8xlarge,g2,8xlarge,"us-east-1a, us-east-1b, us-east-1d, us-east-1e",false,false,xen,32,x86_64,16,"2,4,6,8,10,12,14,16",2,"1,2",2.6,60,240,true,ssd,2,supported,unsupported,High,unsupported,8,30,-,-,"cluster, partition, spread",4,-,-,"ebs, instance-store",true,-,-,false,2.6 USD per Hour,2.878 USD per Hour
g3.4xlarge,g3,4xlarge,"us-east-1a, us-east-1b, us-east-1d, us-east-1e",false,false,xen,16,x86_64,8,"1,2,3,4,5,6,7,8",2,"1,2",2.7,122,-,-,-,-,supported,default,Up to 10 Gigabit,supported,8,30,30,true,"cluster, partition, spread",1,-,true,ebs,true,-,-,true,1.14 USD per Hour,1.876 USD per Hour
g3.8xlarge,g3,8xlarge,"us-east-1a, us-east-1b, us-east-1d, us-east-1e",false,false,xen,32,x86_64,16,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16",2,"1,2",2.7,244,-,-,-,-,supported,default,10 Gigabit,supported,8,30,30,true,"cluster, partition, spread",2,-,true,ebs,true,-,-,true,2.28 USD per Hour,3.752 USD per Hour
g3.16xlarge,g3,16xlarge,"us-east-1a, us-east-1b, us-east-1d, us-east-1e",false,false,xen,64,x86_64,32,"2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32",2,"1,2",2.3,488,-,-,-,-,supported,default,25 Gigabit,supported,15,50,50,true,"cluster, partition, spread",4,-,true,ebs,true,-,-,true,4.56 USD per Hour,7.504 USD per Hour
g3s.xlarge,g3s,xlarge,"us-east-1a, us-east-1b, us-east-1d, us-east-1e",false,false,xen,4,x86_64,2,"1,2",2,"1,2",2.7,30.5,-,-,-,-,supported,default,Up to 10 Gigabit,required,4,15,15,true,"cluster, partition, spread",1,-,true,ebs,-,-,-,true,0.75 USD per Hour,0.934 USD per Hour
g4ad.xlarge,g4ad,xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d",false,false,nitro,4,x86_64,2,2,2,"1,2",3,16,150,true,ssd,1,supported,default,Up to 10 Gigabit,required,2,4,4,true,"cluster, partition, spread",1,-,-,ebs,-,-,-,true,0.37853 USD per Hour,0.56253 USD per Hour
g4ad.2xlarge,g4ad,2xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d",false,false,nitro,8,x86_64,4,"2,4",2,"1,2",3,32,300,true,ssd,1,supported,default,Up to 10 Gigabit,required,2,4,4,true,"cluster, partition, spread",1,-,-,ebs,-,-,-,true,0.54117 USD per Hour,0.90917 USD per Hour
g4ad.4xlarge,g4ad,4xlarge,"us-east-1a, us-east-1b, us-east-1c, us-east-1d",false,false,nitro,16,x86_64,8,"2,4,8",2,"1,2",3,64,600,true,ssd,1,supported,default,Up to 10 Gigabit,required,3,10,10,true,"cluster, partition, spread",1,-,-,ebs,true,-,-,true,0.867 USD per Hour,1.603 USD per Hour
